Time,proton_density,proton_bulk_speed,proton_thermal,alpha_density,alpha_bulk_speed,alpha_thermal,proton_xvelocity,proton_yvelocity,proton_zvelocity,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos,composite_flux_th1,composite_flux_th2,composite_flux,alpha_proton_ratio,velocity_magnitude
2025-07-03 00:08:01.616,20.89245265523704,347.08903165611315,29.713857066145906,0.4358993951534434,344.2658521091411,18.73634756582205,-347.08903165611315,-16.007204229768924,-12.069321864642362,1275554.4756472255,251676.79489467063,-97243.5137649562,1544613.379511222,2566666.666666667,4111280.046177889,0.020863964721929282,347.6675064102255
2025-07-03 00:08:06.616,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-8.920644135695277,-13.65980653437616,1275554.475769809,251678.143961474,-97243.41254562336,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:08:11.616,20.099104082808264,346.9877645219753,29.30423242198595,0.423061226378477,344.8046861331445,18.406370953035317,-346.9877645219753,-10.417527560295213,-11.35283844526841,1275554.475892916,251679.49305303063,-97243.31132370891,1544613.379511222,2566666.666666667,4111280.046177889,0.021048760414168994,347.3297000678054
2025-07-03 00:08:16.616,20.711906641997704,347.25134175931134,28.842375248263004,0.435272405701143,345.78313579125955,17.6112582342846,-347.25134175931134,-14.234633646673288,-8.100510273246272,1275554.4760164383,251680.8421148637,-97243.21010326369,1544613.379511222,2566666.666666667,4111280.046177889,0.0210155642947201,347.63736481480817
2025-07-03 00:08:21.616,20.63177480702821,347.65097154008504,28.940485589869557,0.407672779395734,345.2426814063182,18.3167663468867,-347.65097154008504,-7.3630655510742,-9.211144840416855,1275554.476140343,251682.1912025055,-97243.10888022084,1544613.379511222,2566666.666666667,4111280.046177889,0.019759462441246708,347.8509133757529
2025-07-03 00:08:26.617,20.14346013657516,347.19911069371585,30.50903034510516,0.4209199840245237,345.2954597288868,18.39016537753344,-347.19911069371585,-15.853620626678406,-11.930331176494969,1275554.4762647166,251683.54028858995,-97243.00765661814,1544613.379511222,2566666.666666667,4111280.046177889,0.020896111252517387,347.7655712623989
2025-07-03 00:08:31.616,20.66546647579913,349.20374439339304,28.767877727562,0.4224490235970123,346.5185782901795,17.453735108060002,-349.20374439339304,-13.55764995396133,-8.87859411318886,1275554.476389546,251684.88931915973,-97242.90643652192,1544613.379511222,2566666.666666667,4111280.046177889,0.020442268946202255,349.5795966644322
2025-07-03 00:08:36.617,20.38347658376468,349.4907808737982,29.64938922590877,0.4716199837550953,347.8902160944082,18.845607920415585,-349.4907808737982,-10.925087190024954,-11.937616529572871,1275554.4765148142,251686.2384289908,-97242.80520979525,1544613.379511222,2566666.666666667,4111280.046177889,0.02313736726004522,349.8652170969472
2025-07-03 00:08:41.617,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-7.68455143765906,-8.66914660857438,1275554.4766405092,251687.58748295385,-97242.70398653264,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:08:46.617,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-0.3038711188174332,-5.584699185169576,1275554.476766602,251688.93653467152,-97242.60276272002,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:08:51.617,17.961938135434803,348.68300666447954,30.40545199339976,0.4049718969360949,347.6706090751794,19.171159961739196,-348.68300666447954,-6.533583146231734,-6.74181777006747,1275554.476893138,251690.28558473085,-97242.5015383612,1544613.379511222,2566666.666666667,4111280.046177889,0.022546113558713235,348.80937337198236
2025-07-03 00:08:56.617,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-5.305132702268587,-7.710091951904701,1275554.477020115,251691.63465989905,-97242.40031136846,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:09:01.617,14.570601528180337,362.0224236402103,29.5292772587068,0.3287700048274086,361.9905993143213,23.42134374024165,-362.0224236402103,-14.880136158910112,-5.809039287651814,1275554.4771475014,251692.98370620055,-97242.29908588131,1544613.379511222,2566666.666666667,4111280.046177889,0.022563928070611874,362.374666067987
